value,title
A320,"Airbus A320-200"
B738,"Boeing 737-800"
A21N,"Airbus A321-200N"
A20N,"Airbus A320-200N"
A321,"Airbus A321-200"
B737,"Boeing 737-700"
A319,"Airbus A319-100"
B77W,"Boeing 777-300ER"
A333,"Airbus A330-300"
B789,"Boeing 787-9"
A332,"Airbus A330-200"
B788,"Boeing 787-8"
B772,"Boeing 777-200ER"
A359,"Airbus A350-900"
A35K,"Airbus A350-1000"
B763,"Boeing 767-300ER"
B762,"Boeing 767-200ER"
A310,"Airbus A310-304"
B752,"Boeing 757-200"
B744,"Boeing 747-400"
A388,"Airbus A380-800"
B753,"Boeing 757-300"
B764,"Boeing 767-400ER"
A343,"Airbus A340-300"
A346,"Airbus A340-600"
B78X,"Boeing 787-10"
A342,"Airbus A340-200"
A345,"Airbus A340-500"
B77L,"Boeing 777-200LR"
B77F,"Boeing 777-F"
A306,"Airbus A300B4-600"
A30B,"Airbus A300B4-200"
A3ST,"Airbus A300F4-608ST"
A30F,"Airbus A300F4-600R"
B732,"Boeing 737-200"
B733,"Boeing 737-300"
B734,"Boeing 737-400"
B735,"Boeing 737-500"
B739,"Boeing 737-900"
BBJ1,"Boeing 737 BBJ"
BBJ2,"Boeing 737 BBJ2"
BBJ3,"Boeing 737 BBJ3"
B38M,"Boeing 737 MAX 8"
B741,"Boeing 737-100B"
B742,"Boeing 737-200B"
B74F,"Boeing 747-400F"
B48F,"Boeing 747-8F"
B748,"Boeing 747-8"
CRJ9,"Cessna CRJ-900"
CRJ7,"Cessna CRJ-700"
CRJ5,"Cessna CRJ-550"
CRJ2,"Cessna CRJ-200"
CRJX,"Cessna CRJ-1000"
E175,"Embraer ERJ-175"
E190,"Embraer ERJ-190"
E195,"Embraer ERJ-195"
E170,"Embraer ERJ-170"
E145,"Embraer ERJ-145LR"
E135,"Embraer ERJ-135LR"
E140,"Embraer ERJ-140LR"
AT76,"ATR-72-600"
AT75,"ATR-72-500"
AT73,"ATR-72-211"
AT72,"ATR-72-201"
AT46,"ATR-42-600"
AT45,"ATR-42-500"
AT43,"ATR-42-300"
BCS3,"Airbus A220-300"
BCS1,"Airbus A220-100"
A318,"Airbus A318-100"
MD88,"McDonell Douglas MD-88"
MD82,"McDonell Douglas DC-9-82"
MD83,"McDonell Douglas DC-9-83"
MD90,"McDonell Douglas MD-90-30"
MD11,"McDonell Douglas MD-11"
MD1F,"McDonell Douglas MD-11F"
DC10,"McDonnell Douglas DC-10-30"
L101,"Lockheed L-1011 TriStar"
DHC7,"de Havilland Canada Dash 7"
T154,"Tupolev Tu-154B2"
SU95,"Superjet SU-95"
A148,"Antonov An-148"
DC3,"McDonell Douglas DC-3"
DC6,"McDonnell Douglas DC-6"
A225,"Antonov An-225"
