icaoCode,iataCode,shortName,fullName,callsign,avgFleetAge,type,continent,hubs,logoUrl,backgroundUrl
ETH,ET,Ethiopian Airlines,Ethiopian Airlines,ETHIOPIAN,6,legacy,africa,ADD,,
MSR,MS,EgyptAir,EgyptAir,EGYPTAIR,9,legacy,africa,CAI,,
RAM,AT,Royal Air Maroc,Royal Air Maroc,ROYALAIR MAROC,9,legacy,africa,CMN,,
SAA,SA,South African Airways,South African Airways,SPRINGBOK,12,legacy,africa,JNB,,
KQA,KQ,Kenya Airways,Kenya Airways,KENYA,9,legacy,africa,NBO,,
DAH,AH,Air Algérie,Air Algérie,AIR ALGERIE,10,legacy,africa,ALG,,
TAR,TU,Tunisair,Tunisair,TUNAIR,14,legacy,africa,TUN,,
RWD,WB,RwandAir,RwandAir,RWANDAIR,6,legacy,africa,KGL,,
MAU,MK,Air Mauritius,Air Mauritius,AIRMAURITIUS,8,legacy,africa,MRU,,
DTA,DT,TAAG Angola,TAAG Linhas Aéreas de Angola,DTA,9,legacy,africa,LAD,,
QFA,QF,Qantas,Qantas Airways,QANTAS,11,legacy,oceania,SYD MEL,,
VOZ,VA,Virgin Australia,Virgin Australia,VELOCITY,9,legacy,oceania,BNE SYD,,
ANZ,NZ,Air New Zealand,Air New Zealand,NEW ZEALAND,8,legacy,oceania,AKL,,
JST,JQ,Jetstar,Jetstar Airways,JETSTAR,10,low_cost,oceania,MEL,,
FJI,FJ,Fiji Airways,Fiji Airways,PACIFIC,8,legacy,oceania,NAN,,
THT,TN,Air Tahiti Nui,Air Tahiti Nui,TAHITI AIRLINES,8,legacy,oceania,PPT,,
ACI,SB,Aircalin,Air Calédonie International,AIRCALIN,9,legacy,oceania,NOU,,
ANG,PX,Air Niugini,Air Niugini,NIUGINI,13,legacy,oceania,POM,,
